timestamp,open,high,low,close
2024-04-15,1.06337,1.06652,1.062,1.06234
2024-04-16,1.06238,1.06535,1.0601,1.06146
2024-04-17,1.06164,1.06796,1.06059,1.06709
2024-04-18,1.06715,1.069,1.0641,1.06435
2024-04-19,1.06431,1.06776,1.06102,1.06526
2024-04-22,1.06556,1.06706,1.06237,1.06513
2024-04-23,1.06519,1.07113,1.0638,1.07019
2024-04-24,1.07019,1.07142,1.06776,1.06967
2024-04-25,1.0697,1.074,1.06782,1.07281
2024-04-26,1.07284,1.0753,1.06737,1.06922
2024-04-29,1.06946,1.07337,1.06898,1.07203
2024-04-30,1.07205,1.07353,1.06628,1.0669
2024-05-01,1.06688,1.07328,1.0649,1.07096
2024-05-02,1.07114,1.07302,1.0674,1.07233
2024-05-03,1.07221,1.08124,1.07221,1.07609
2024-05-06,1.0763,1.07907,1.0755,1.07689
2024-05-07,1.07685,1.07874,1.07477,1.07559
2024-05-08,1.07553,1.07575,1.0733,1.07474
2024-05-09,1.07475,1.07847,1.07236,1.07807
2024-05-10,1.07805,1.07901,1.07602,1.07694
2024-05-13,1.07706,1.08068,1.07655,1.07883
2024-05-14,1.07896,1.08257,1.07668,1.08163
2024-05-15,1.08171,1.0886,1.08128,1.08832
2024-05-16,1.08828,1.0895,1.0854,1.08656
2024-05-17,1.0866,1.08786,1.08353,1.08674
2024-05-20,1.08688,1.08845,1.0853,1.08592
2024-05-21,1.08593,1.08748,1.08424,1.0855
2024-05-22,1.08551,1.08635,1.0817,1.08233
2024-05-23,1.08233,1.0861,1.08045,1.08142
2024-05-24,1.08144,1.0858,1.08052,1.0845
2024-05-27,1.08444,1.08675,1.08404,1.0856
2024-05-28,1.08563,1.0889,1.08542,1.08569
2024-05-29,1.08572,1.08604,1.07991,1.08029
2024-05-30,1.08032,1.08451,1.07879,1.08334
2024-05-31,1.08334,1.08823,1.08109,1.0845
2024-06-03,1.08462,1.09045,1.0826,1.09028
2024-06-04,1.09017,1.0916,1.08585,1.08786
2024-06-05,1.08788,1.08915,1.08541,1.08702
2024-06-06,1.087,1.0902,1.08617,1.08891
2024-06-07,1.08893,1.0902,1.07993,1.08
2024-06-10,1.07713,1.07817,1.07325,1.07648
2024-06-11,1.07649,1.07734,1.0719,1.07416
2024-06-12,1.07425,1.08523,1.07343,1.08109
2024-06-13,1.0812,1.08164,1.07309,1.07388
2024-06-14,1.07386,1.0745,1.06673,1.07025
2024-06-17,1.07045,1.0738,1.06862,1.07313
2024-06-18,1.07314,1.07615,1.07098,1.074
2024-06-19,1.07401,1.07534,1.07244,1.0744
2024-06-20,1.07441,1.0749,1.06994,1.0704
2024-06-21,1.07039,1.07206,1.06707,1.0691
2024-06-24,1.06906,1.07465,1.06834,1.07332
2024-06-25,1.07329,1.07442,1.06903,1.07123
2024-06-26,1.07123,1.0718,1.06658,1.06799
2024-06-27,1.06795,1.07264,1.06767,1.07048
2024-06-28,1.0705,1.07248,1.06851,1.07112
2024-07-01,1.0738,1.07765,1.07195,1.07384
2024-07-02,1.07384,1.07472,1.07097,1.07446
2024-07-03,1.07446,1.08169,1.0736,1.07855
2024-07-04,1.07855,1.0814,1.07834,1.0811
2024-07-05,1.08111,1.08426,1.07968,1.0837
2024-07-08,1.08178,1.08451,1.08143,1.08241
2024-07-09,1.08244,1.08333,1.0805,1.0814
2024-07-10,1.08139,1.08305,1.08105,1.08289
2024-07-11,1.08289,1.08999,1.0828,1.08659
2024-07-12,1.08659,1.09114,1.086,1.09054
2024-07-15,1.08882,1.09223,1.08829,1.08946
2024-07-16,1.08946,1.09056,1.08712,1.08977
2024-07-17,1.08988,1.09481,1.08949,1.09378
2024-07-18,1.09378,1.0941,1.0893,1.08975
2024-07-19,1.08974,1.0902,1.08753,1.08822
2024-07-22,1.08844,1.0903,1.08727,1.089
2024-07-23,1.08894,1.08968,1.08436,1.08531
2024-07-24,1.08534,1.08666,1.08253,1.084
2024-07-25,1.08393,1.08701,1.08278,1.08449
2024-07-26,1.08448,1.08683,1.08418,1.0855
2024-07-29,1.08557,1.087,1.08025,1.08223
2024-07-30,1.08225,1.08358,1.0798,1.08131
2024-07-31,1.08128,1.08494,1.08017,1.08268
2024-08-01,1.08269,1.08354,1.07772,1.0791
2024-08-02,1.07909,1.0927,1.07816,1.09098
2024-08-05,1.09195,1.1009,1.08923,1.09524
2024-08-06,1.09526,1.09631,1.09035,1.0929
2024-08-07,1.09285,1.09366,1.0905,1.09226
2024-08-08,1.09228,1.09451,1.08812,1.09164
2024-08-09,1.09162,1.09314,1.09087,1.09148
2024-08-12,1.09183,1.09395,1.09097,1.09317
2024-08-13,1.09314,1.09997,1.09134,1.09914
2024-08-14,1.09914,1.10264,1.0986,1.10253
2024-08-15,1.10111,1.1016,1.0949,1.09717
2024-08-16,1.09719,1.10297,1.09702,1.10253
2024-08-19,1.10247,1.10864,1.10215,1.1083
2024-08-20,1.10835,1.11304,1.10716,1.11286
2024-08-21,1.11285,1.11741,1.10992,1.11481
2024-08-22,1.11482,1.11649,1.10976,1.11108
2024-08-23,1.11112,1.1201,1.11052,1.11913
2024-08-26,1.11903,1.12015,1.11498,1.11604
2024-08-27,1.11604,1.11906,1.11501,1.11824
2024-08-28,1.11827,1.1185,1.11046,1.11188
2024-08-29,1.11188,1.11399,1.10553,1.1078
2024-08-30,1.10779,1.1095,1.10436,1.10465
2024-09-02,1.10464,1.10775,1.10416,1.10702
2024-09-03,1.10701,1.1073,1.1026,1.1045
2024-09-04,1.10445,1.10952,1.10382,1.1082
2024-09-05,1.10831,1.11197,1.10744,1.1108
2024-09-06,1.11083,1.11556,1.10653,1.1083
2024-09-09,1.10826,1.10911,1.1033,1.10357
2024-09-10,1.10364,1.10498,1.10149,1.1019
2024-09-11,1.10192,1.1055,1.10017,1.10128
2024-09-12,1.10124,1.10751,1.10052,1.10735
2024-09-13,1.10735,1.11019,1.107,1.10737
2024-09-16,1.10745,1.11376,1.10743,1.1131
2024-09-17,1.11302,1.11461,1.11106,1.11127
2024-09-18,1.1113,1.11891,1.10965,1.11156
2024-09-19,1.11156,1.1179,1.10681,1.11613
2024-09-20,1.11612,1.11819,1.11357,1.11617
2024-09-23,1.11612,1.11672,1.10829,1.1111
2024-09-24,1.11118,1.1181,1.11029,1.11783
2024-09-25,1.11786,1.1214,1.1121,1.1133
2024-09-26,1.11325,1.11893,1.11255,1.11748
2024-09-27,1.11747,1.1203,1.11247,1.1161
2024-09-30,1.11583,1.12089,1.11132,1.11349
2024-10-01,1.1135,1.1144,1.10455,1.10676
2024-10-02,1.10685,1.10828,1.10323,1.10474
2024-10-03,1.10478,1.1049,1.1008,1.10321
2024-10-04,1.10318,1.10396,1.0951,1.09739
