user_id,currency_pair,action,amount,price,timestamp,risk_rate,stop_loss,take_profit
7,EUR/USD,buy,47109,1.07229,01/01/2015 00:00,0.0219,1.05313,1.10977
8,EUR/USD,sell,37442,1.11945,01/01/2015 04:00,0.0243,1.14006,1.07631
4,EUR/USD,buy,35502,1.19429,01/01/2015 08:00,0.0192,1.17142,1.22991
8,EUR/USD,buy,23018,1.21086,01/01/2015 12:00,0.0279,1.18722,1.25016
3,EUR/USD,sell,6275,1.14067,01/01/2015 16:00,0.0294,1.15993,1.11348
2,EUR/USD,sell,5618,1.20275,01/01/2015 20:00,0.0192,1.21951,1.16082
6,EUR/USD,sell,22444,1.24032,02/01/2015 00:00,0.0234,1.26458,1.21048
8,EUR/USD,buy,37270,1.18785,02/01/2015 04:00,0.0234,1.16467,1.22287
10,EUR/USD,sell,34424,1.20348,02/01/2015 08:00,0.0176,1.21645,1.17286
3,EUR/USD,buy,44451,1.20014,02/01/2015 12:00,0.0202,1.18351,1.22425
8,EUR/USD,buy,30936,1.06417,02/01/2015 16:00,0.0154,1.04511,1.08705
10,EUR/USD,buy,38735,1.09962,02/01/2015 20:00,0.0259,1.08519,1.13875
7,EUR/USD,sell,34365,1.05813,03/01/2015 00:00,0.0276,1.07205,1.02737
3,EUR/USD,buy,26059,1.24167,03/01/2015 04:00,0.0213,1.22539,1.27483
9,EUR/USD,sell,17082,1.0753,03/01/2015 08:00,0.0094,1.0927,1.0336
6,EUR/USD,sell,10576,1.08148,03/01/2015 12:00,0.0091,1.09898,1.05022
9,EUR/USD,buy,38281,1.15299,03/01/2015 16:00,0.0277,1.13564,1.19187
2,EUR/USD,sell,20489,1.07488,03/01/2015 20:00,0.0294,1.08932,1.04952
7,EUR/USD,buy,18698,1.15459,04/01/2015 00:00,0.0149,1.1367,1.19761
7,EUR/USD,buy,46244,1.1675,04/01/2015 04:00,0.03,1.15321,1.20962
7,EUR/USD,buy,37857,1.17248,04/01/2015 08:00,0.0139,1.15664,1.19657
10,EUR/USD,buy,34100,1.19439,04/01/2015 12:00,0.0069,1.18232,1.23759
1,EUR/USD,buy,7350,1.20434,04/01/2015 16:00,0.0125,1.18694,1.24051
6,EUR/USD,sell,14681,1.16289,04/01/2015 20:00,0.0102,1.17923,1.12894
9,EUR/USD,sell,28738,1.14567,05/01/2015 00:00,0.0221,1.16778,1.11069
2,EUR/USD,sell,38440,1.08424,05/01/2015 04:00,0.0128,1.10238,1.06212
8,EUR/USD,sell,33241,1.12603,05/01/2015 08:00,0.008,1.14007,1.08832
6,EUR/USD,buy,30908,1.17028,05/01/2015 12:00,0.0215,1.15318,1.21602
8,EUR/USD,buy,39041,1.09198,05/01/2015 16:00,0.0161,1.07908,1.1354
10,EUR/USD,sell,39807,1.07448,05/01/2015 20:00,0.0058,1.09217,1.04775
3,EUR/USD,buy,45364,1.07757,06/01/2015 00:00,0.0081,1.06039,1.10829
7,EUR/USD,sell,44232,1.17634,06/01/2015 04:00,0.0167,1.19556,1.14383
10,EUR/USD,buy,11834,1.06347,06/01/2015 08:00,0.0275,1.0441,1.09695
10,EUR/USD,sell,20018,1.06955,06/01/2015 12:00,0.0105,1.08163,1.02915
5,EUR/USD,buy,27133,1.15974,06/01/2015 16:00,0.0069,1.13677,1.20023
9,EUR/USD,sell,45530,1.1012,06/01/2015 20:00,0.0058,1.12271,1.05721
5,EUR/USD,sell,6968,1.20991,07/01/2015 00:00,0.0285,1.22713,1.17727
1,EUR/USD,sell,5555,1.24348,07/01/2015 04:00,0.0179,1.26553,1.20406
5,EUR/USD,sell,9415,1.08569,07/01/2015 08:00,0.0262,1.10598,1.06147
10,EUR/USD,sell,1468,1.09195,07/01/2015 12:00,0.0133,1.10614,1.06107
5,EUR/USD,buy,25926,1.09768,07/01/2015 16:00,0.0247,1.07921,1.12823
1,EUR/USD,buy,48381,1.06404,07/01/2015 20:00,0.02,1.05144,1.09167
10,EUR/USD,sell,13604,1.22776,08/01/2015 00:00,0.0151,1.24377,1.18556
9,EUR/USD,buy,26449,1.17938,08/01/2015 04:00,0.0081,1.16,1.21275
10,EUR/USD,buy,40691,1.08235,08/01/2015 08:00,0.014,1.06733,1.11444
5,EUR/USD,buy,20027,1.15481,08/01/2015 12:00,0.0199,1.14207,1.19683
1,EUR/USD,buy,49612,1.16335,08/01/2015 16:00,0.0288,1.14345,1.20145
9,EUR/USD,sell,2641,1.11553,08/01/2015 20:00,0.0065,1.13678,1.08777
5,EUR/USD,buy,49134,1.14871,09/01/2015 00:00,0.023,1.12967,1.17241
5,EUR/USD,sell,4927,1.16675,09/01/2015 04:00,0.0284,1.1856,1.121
