timestamp,open,high,low,close
2024-04-11,3.7297,3.7652,3.7222,3.7351
2024-04-12,3.7359,3.7764,3.7261,3.7677
2024-04-15,3.7519,3.7719,3.694,3.7412
2024-04-16,3.7409,3.7727,3.7246,3.7545
2024-04-17,3.7519,3.7964,3.7438,3.7854
2024-04-18,3.7938,3.8111,3.7619,3.7816
2024-04-19,3.7868,3.8224,3.7446,3.7589
2024-04-22,3.7543,3.778,3.7372,3.7759
2024-04-23,3.7669,3.788,3.7471,3.7645
2024-04-24,3.7595,3.7905,3.7453,3.7839
2024-04-25,3.7803,3.8075,3.7686,3.8025
2024-04-26,3.7977,3.8275,3.7756,3.807
2024-04-29,3.8042,3.8124,3.7422,3.7605
2024-04-30,3.7529,3.7642,3.7163,3.7328
2024-05-01,3.7256,3.75547,3.7109,3.75482
2024-05-02,3.7477,3.7584,3.7033,3.7162
2024-05-03,3.7154,3.7247,3.6942,3.705
2024-05-06,3.7095,3.7469,3.6998,3.7309
2024-05-07,3.7309,3.7309,3.6841,3.6971
2024-05-08,3.6894,3.7229,3.6823,3.7108
2024-05-09,3.7086,3.7406,3.702,3.7181
2024-05-10,3.722,3.7309,3.7079,3.7169
2024-05-13,3.7156,3.7346,3.6997,3.7184
2024-05-14,3.7133,3.7327,3.6794,3.6913
2024-05-15,3.6924,3.7043,3.6519,3.665
2024-05-16,3.6661,3.6976,3.6583,3.6887
2024-05-17,3.6896,3.72171,3.6818,3.7045
2024-05-20,3.7052,3.7175,3.6714,3.6767
2024-05-21,3.6761,3.68957,3.6553,3.6646
2024-05-22,3.6633,3.6851,3.6518,3.6717
2024-05-23,3.6638,3.6793,3.6566,3.672
2024-05-24,3.6706,3.6804,3.6469,3.65778
2024-05-27,3.6568,3.682,3.6483,3.6706
2024-05-28,3.6652,3.6863,3.6588,3.6733
2024-05-29,3.6746,3.7128,3.6687,3.6971
2024-05-30,3.6972,3.73,3.6833,3.696
2024-05-31,3.6968,3.7224,3.6925,3.7074
2024-06-03,3.6995,3.7183,3.6397,3.6545
2024-06-04,3.6565,3.6974,3.641,3.6915
2024-06-05,3.6881,3.7226,3.6701,3.7073
2024-06-06,3.711,3.7374,3.7002,3.7262
2024-06-07,3.7223,3.7655,3.7035,3.7479
2024-06-10,3.7612,3.7626,3.7272,3.7328
2024-06-11,3.7408,3.76142,3.6858,3.7035
2024-06-12,3.7035,3.7275,3.6674,3.6847
2024-06-13,3.6825,3.7195,3.6754,3.7111
2024-06-14,3.7056,3.7354,3.7016,3.7192
2024-06-17,3.7109,3.74377,3.6926,3.7106
2024-06-18,3.7115,3.7226,3.6956,3.71
2024-06-19,3.7133,3.7271,3.6939,3.7098
2024-06-20,3.7008,3.7338,3.6962,3.7217
2024-06-21,3.7215,3.7627,3.7132,3.7554
2024-06-24,3.7494,3.7509,3.7025,3.722
2024-06-25,3.7223,3.7473,3.705,3.7463
2024-06-26,3.7349,3.7565,3.7256,3.7509
2024-06-27,3.7422,3.76264,3.7362,3.7538
2024-06-28,3.7531,3.777,3.742,3.7553
2024-07-01,3.7641,3.7678,3.7314,3.761
2024-07-02,3.7618,3.7766,3.7438,3.76
2024-07-03,3.7601,3.7752,3.7469,3.756
2024-07-04,3.7524,3.757,3.7218,3.7395
2024-07-05,3.7384,3.7395,3.6711,3.6828
2024-07-08,3.6862,3.7048,3.6609,3.6713
2024-07-09,3.6706,3.6969,3.6433,3.6708
2024-07-10,3.6698,3.678,3.6389,3.6589
2024-07-11,3.6585,3.6601,3.6158,3.6292
2024-07-12,3.6345,3.6515,3.5774,3.6013
2024-07-15,3.5953,3.62692,3.5907,3.6138
2024-07-16,3.6152,3.6402,3.6018,3.6233
2024-07-17,3.6177,3.6424,3.6047,3.6301
2024-07-18,3.6334,3.6458,3.6194,3.6412
2024-07-19,3.64067,3.6713,3.6314,3.64462
2024-07-22,3.6444,3.6511,3.6177,3.631
2024-07-23,3.6308,3.6358,3.6025,3.6215
2024-07-24,3.622,3.6526,3.6131,3.6476
2024-07-25,3.6443,3.6866,3.6342,3.6679
2024-07-26,3.6687,3.6815,3.6426,3.6578
2024-07-29,3.6716,3.7405,3.6716,3.7148
2024-07-30,3.7144,3.7679,3.7084,3.7463
2024-07-31,3.7423,3.7873,3.7354,3.7704
2024-08-01,3.7666,3.8085,3.7542,3.7904
2024-08-02,3.7913,3.8127,3.77688,3.8
2024-08-05,3.7951,3.8386,3.7902,3.8229
2024-08-06,3.82,3.8518,3.7995,3.83
2024-08-07,3.8274,3.8332,3.7643,3.7913
2024-08-08,3.7915,3.8003,3.7616,3.7714
2024-08-09,3.7723,3.7785,3.7131,3.7198
2024-08-12,3.7229,3.7858,3.7206,3.7726
2024-08-13,3.7721,3.7785,3.7007,3.7188
2024-08-14,3.7177,3.7391,3.6875,3.7141
2024-08-15,3.7159,3.7196,3.6696,3.6842
2024-08-16,3.6845,3.696,3.6547,3.6617
2024-08-19,3.6702,3.7176,3.6634,3.7156
2024-08-20,3.7064,3.7133,3.6755,3.6947
2024-08-21,3.6949,3.73,3.6782,3.7154
2024-08-22,3.7121,3.7244,3.6961,3.7035
2024-08-23,3.7045,3.7118,3.6679,3.6842
2024-08-26,3.6778,3.6889,3.6413,3.6746
2024-08-27,3.6702,3.6918,3.6639,3.6776
2024-08-28,3.6774,3.6824,3.6439,3.6538
